Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,94.45625,-63.5,90,bottom
C2,22pF,C_0805_2012Metric,86.51875,-63.5,270,bottom
C3,1uF,C_0805_2012Metric,80.9625,-74.93,180,bottom
C4,0.1 uF,C_0805_2012Metric,82.39125,-67.31,90,bottom
C5,0.1 uF,C_0805_2012Metric,99.06,-72.39,90,bottom
C6,0.1 uF,C_0805_2012Metric,95.25,-84.93125,180,bottom
C7,10 uF,C_0805_2012Metric,82.55,-81.9125,270,bottom
D1,SOD-123,D_SOD-123,73.025,-96.04375,90,bottom
D2,SOD-123,D_SOD-123,92.075,-96.04375,90,bottom
D3,SOD-123,D_SOD-123,111.125,-96.04375,90,bottom
D4,SOD-123,D_SOD-123,130.175,-96.04375,90,bottom
D5,SOD-123,D_SOD-123,73.025,-115.09375,90,bottom
D6,SOD-123,D_SOD-123,92.075,-115.09375,90,bottom
D7,SOD-123,D_SOD-123,111.125,-115.09375,90,bottom
D8,SOD-123,D_SOD-123,130.175,-115.09375,90,bottom
D9,SOD-123,D_SOD-123,73.025,-134.14375,90,bottom
D10,SOD-123,D_SOD-123,92.075,-134.14375,90,bottom
D11,SOD-123,D_SOD-123,111.125,-134.14375,90,bottom
D12,SOD-123,D_SOD-123,130.175,-134.14375,90,bottom
F1,500mA,Fuse_1206_3216Metric,108.74375,-73.63125,90,bottom
R1,10k,R_0805_2012Metric,79.375,-67.31,90,bottom
R2,22,R_0805_2012Metric,105.56875,-69.85,90,bottom
R3,22,R_0805_2012Metric,102.39375,-69.85,90,bottom
R4,10k,R_0805_2012Metric,102.39375,-73.81875,90,bottom
R5,5.1k,R_0805_2012Metric,105.56875,-73.81875,90,bottom
R6,5.1k,R_0805_2012Metric,96.52,-67.31,180,bottom
SW1,SW_Push,SKQG-1155865,103.98125,-81.75625,0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,90.4875,-76.2,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,103.1875,-57.94375,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,90.4875,-63.5,180,bottom
